"testId","testDate","age","personality","testScore","satisfactionScore"
1,2024-01-01,44,"Introvert",78.9,7.8
2,2024-01-01,24,"Introvert",71.1,8.3
3,2024-01-01,53,"Introvert",80.2,7.8
4,2024-01-01,26,"Introvert",66.3,7.4
5,2024-01-01,32,"Extrovert",76.5,9.9
6,2024-01-01,37,"Extrovert",69,9.6
7,2024-01-01,50,"Introvert",76.5,7.8
8,2024-01-01,46,"Introvert",71,8.3
9,2024-01-01,60,"Extrovert",52.2,9
10,2024-01-01,39,"Introvert",81.9,8.4
11,2024-01-01,41,"Introvert",62.7,7.5
12,2024-01-01,24,"Introvert",58.8,7.5
13,2024-01-01,16,"Introvert",74.8,8
14,2024-01-01,23,"Introvert",73.5,8.4
15,2024-01-01,53,"Extrovert",66.6,9.7
16,2024-01-01,39,"Introvert",71.7,7.7
17,2024-01-01,34,"Introvert",47.8,7.7
18,2024-01-01,25,"Introvert",82.1,8.3
19,2024-01-01,55,"Introvert",81.2,8
20,2024-01-01,49,"Introvert",64.4,7.6
21,2024-01-01,58,"Introvert",77.2,7.8
22,2024-01-01,31,"Introvert",78.6,8.1
23,2024-01-01,60,"Extrovert",83.2,10
24,2024-01-01,59,"Introvert",73.7,8.8
25,2024-01-01,54,"Introvert",52.4,7.1
26,2024-01-01,22,"Introvert",67.8,7.8
27,2024-01-01,36,"Introvert",68.6,7.7
28,2024-01-01,26,"Introvert",76.6,7.8
29,2024-01-01,49,"Introvert",79.9,7.5
30,2024-01-01,49,"Introvert",66.5,8
31,2024-01-01,54,"Extrovert",75.7,10
32,2024-01-01,26,"Extrovert",69.3,9.8
33,2024-01-01,43,"Extrovert",48.9,10
34,2024-01-01,55,"Extrovert",70.9,9.9
35,2024-01-01,42,"Introvert",78.8,7.8
36,2024-01-01,58,"Introvert",48.4,8.2
37,2024-01-01,48,"Introvert",75.8,8.2
38,2024-01-01,33,"Introvert",83,7.7
39,2024-01-02,60,"Introvert",48.6,6.8
40,2024-01-02,27,"Extrovert",71.2,10
41,2024-01-02,23,"Introvert",91.4,7.5
42,2024-01-02,35,"Extrovert",62.9,9.8
43,2024-01-02,28,"Extrovert",57,10
44,2024-01-02,28,"Extrovert",79.2,10
45,2024-01-02,37,"Extrovert",67.2,10
46,2024-01-02,43,"Extrovert",59.8,9.1
47,2024-01-02,51,"Extrovert",62.4,9.8
48,2024-01-02,41,"Introvert",62.4,6.5
49,2024-01-02,16,"Introvert",60.8,6.5
50,2024-01-02,32,"Introvert",75.6,6.4
51,2024-01-02,22,"Introvert",77.6,6.8
52,2024-01-02,26,"Introvert",68.6,6.2
53,2024-01-02,34,"Introvert",62.3,6.8
54,2024-01-02,45,"Introvert",69.4,6.7
55,2024-01-02,16,"Extrovert",54.1,9.6
56,2024-01-02,44,"Extrovert",87.1,10
57,2024-01-02,32,"Introvert",45.3,6.2
58,2024-01-02,59,"Extrovert",68.8,9.7
59,2024-01-02,59,"Introvert",62.8,6.9
60,2024-01-02,39,"Introvert",76.8,7
61,2024-01-02,36,"Extrovert",68.8,9.8
62,2024-01-02,56,"Introvert",69.3,6.8
63,2024-01-02,42,"Extrovert",100,10
64,2024-01-02,40,"Introvert",72.2,6.6
65,2024-01-02,32,"Introvert",53.1,6
66,2024-01-02,40,"Introvert",71.5,6.4
67,2024-01-02,21,"Extrovert",67.1,10
68,2024-01-02,34,"Introvert",72,7
69,2024-01-02,50,"Introvert",90,7.1
70,2024-01-02,48,"Introvert",58.6,5.9
71,2024-01-02,21,"Introvert",74.9,7.5
72,2024-01-02,20,"Introvert",54.4,5.9
73,2024-01-02,31,"Introvert",74.9,6.3
74,2024-01-02,40,"Introvert",73.9,7.3
75,2024-01-02,51,"Introvert",63.7,6.8
76,2024-01-02,16,"Introvert",52,6
77,2024-01-02,17,"Introvert",77.3,6.8
78,2024-01-02,35,"Introvert",56,6.7
79,2024-01-02,49,"Introvert",81.2,7.6
80,2024-01-03,38,"Extrovert",84.8,9.7
81,2024-01-03,41,"Introvert",76.1,8.8
82,2024-01-03,41,"Introvert",90,9.1
83,2024-01-03,36,"Extrovert",72.7,9.7
84,2024-01-03,45,"Introvert",63.1,8.3
85,2024-01-03,34,"Extrovert",74.9,9.9
86,2024-01-03,17,"Extrovert",85.8,10
87,2024-01-03,47,"Extrovert",79.7,9.8
88,2024-01-03,50,"Extrovert",64.1,9.6
89,2024-01-03,58,"Extrovert",59,9.5
90,2024-01-03,27,"Introvert",64.8,8.4
91,2024-01-03,47,"Introvert",75.2,7.9
92,2024-01-03,52,"Extrovert",82.2,10
93,2024-01-03,21,"Introvert",65,8.6
94,2024-01-03,19,"Introvert",93.2,8.9
95,2024-01-03,53,"Introvert",70.2,8.1
96,2024-01-03,51,"Extrovert",67.2,10
97,2024-01-03,49,"Extrovert",65.7,9.7
98,2024-01-03,43,"Introvert",65.2,8.6
99,2024-01-03,29,"Extrovert",81.2,9.7
100,2024-01-03,47,"Introvert",57.5,7.8
101,2024-01-03,24,"Extrovert",72.5,10
102,2024-01-03,59,"Extrovert",80.2,10
103,2024-01-03,56,"Extrovert",69.1,9.4
104,2024-01-03,31,"Introvert",70.7,8.6
105,2024-01-03,48,"Introvert",81,8.3
106,2024-01-03,48,"Introvert",73.8,8.3
107,2024-01-03,28,"Extrovert",67.9,10
108,2024-01-03,24,"Introvert",80.7,8.9
109,2024-01-03,45,"Introvert",72.7,8.4
110,2024-01-03,23,"Introvert",54.2,7.8
111,2024-01-03,39,"Extrovert",73.7,9.8
112,2024-01-04,58,"Introvert",77.4,9.3
113,2024-01-04,21,"Extrovert",57.8,9.1
114,2024-01-04,26,"Introvert",92.8,9.7
